hour	count
2017-05-08T20	1
2017-05-10T06	1
2017-05-10T17	1
2017-05-10T21	2
2017-05-10T22	1
2017-05-11T06	1
2017-05-12T03	1
2017-05-12T19	1
2017-05-12T22	1
2017-05-13T10	1
2017-05-13T17	1
2017-05-13T19	1
2017-05-15T13	1
2017-05-15T18	1
2017-05-15T22	1
2017-05-16T12	3
2017-05-16T19	1
2017-05-17T09	2
2017-05-17T15	1
2017-05-17T17	1
2017-05-17T22	1
2017-05-17T23	1
2017-05-20T09	1
2017-05-20T12	1
2017-05-21T22	1
2017-05-22T06	1
2017-05-22T10	1
2017-05-22T22	1
2017-05-23T08	1
2017-05-25T12	1
2017-05-26T18	1
2017-05-26T20	1
2017-05-27T11	1
2017-05-27T13	1
2017-05-27T19	1
2017-05-28T16	1
2017-05-28T20	1
2017-05-31T10	1
2017-05-31T11	1
2017-05-31T12	1
2017-05-31T13	1
2017-05-31T17	1
2017-06-01T08	1
2017-06-01T11	1
2017-06-02T00	1
2017-06-02T02	1
2017-06-02T09	1
2017-06-02T15	1
2017-06-02T21	1
2017-06-03T07	1
2017-06-03T13	1
2017-06-05T06	1
2017-06-05T09	1
2017-06-05T16	1
2017-06-05T17	1
2017-06-05T18	1
2017-06-05T20	1
2017-06-06T00	1
2017-06-06T01	1
2017-06-06T12	1
2017-06-07T08	1
2017-06-07T10	1
2017-06-07T19	2
2017-06-08T06	1
2017-06-08T09	1
2017-06-08T12	1
2017-06-08T16	1
2017-06-09T14	1
2017-06-09T18	1
2017-06-09T20	1
2017-06-09T21	1
2017-06-10T07	1
2017-06-10T13	2
2017-06-10T14	1
2017-06-10T21	1
2017-06-11T00	1
2017-06-11T05	1
2017-06-13T01	1
2017-06-13T10	1
2017-06-13T13	1
2017-06-13T14	1
2017-06-13T17	1
2017-06-14T07	1
2017-06-15T18	1
2017-06-16T22	1
2017-06-17T11	1
2017-06-17T15	2
2017-06-18T03	1
2017-06-18T19	1
2017-06-18T23	2
2017-06-19T14	1
2017-06-19T21	1
2017-06-20T07	1
2017-06-20T09	1
2017-06-20T16	2
2017-06-20T17	1
2017-06-20T19	1
2017-06-21T00	1
2017-06-21T11	1
2017-06-21T15	1
2017-06-22T02	1
2017-06-22T08	1
2017-06-22T15	1
2017-06-22T16	1
2017-06-22T23	1
2017-06-23T09	1
2017-06-23T16	1
2017-06-24T10	2
2017-06-24T15	1
2017-06-24T17	1
2017-06-24T22	1
2017-06-24T23	1
2017-06-25T00	5
2017-06-25T05	1
2017-06-25T16	1
2017-06-27T08	1
2017-06-27T11	1
2017-06-29T03	2
2017-06-29T16	1
2017-06-29T19	1
2017-06-29T22	1
2017-06-29T23	1
2017-06-30T14	1
2017-06-30T21	1
2017-07-02T14	1
2017-07-02T17	1
2017-07-03T05	1
2017-07-03T17	1
2017-07-03T18	1
2017-07-04T00	1
2017-07-04T01	1
2017-07-04T06	1
2017-07-04T13	1
2017-07-04T15	1
2017-07-04T16	1
2017-07-04T21	3
2017-07-05T06	1
2017-07-05T14	1
2017-07-05T20	1
2017-07-05T21	1
2017-07-05T22	2
2017-07-06T20	1
2017-07-06T21	1
2017-07-06T22	2
2017-07-06T23	2
2017-07-07T00	1
2017-07-07T02	1
2017-07-07T13	1
2017-07-08T07	1
2017-07-08T13	1
2017-07-08T14	1
2017-07-09T13	1
2017-07-09T15	1
2017-07-09T16	2
2017-07-10T14	1
2017-07-11T14	1
2017-07-12T10	1
2017-07-13T09	3
2017-07-13T19	1
2017-07-14T15	1
2017-07-14T16	1
2017-07-14T17	2
2017-07-14T18	1
2017-07-16T14	1
2017-07-16T18	1
2017-07-17T00	1
2017-07-17T03	1
2017-07-17T06	1
2017-07-17T08	2
2017-07-17T09	2
2017-07-17T11	2
2017-07-17T12	1
2017-07-19T18	1
2017-07-20T12	1
2017-07-20T23	2
2017-07-21T04	1
2017-07-21T06	1
2017-07-21T09	1
2017-07-21T11	1
2017-07-21T16	1
2017-07-21T17	1
2017-07-22T09	1
2017-07-22T13	1
2017-07-22T14	1
2017-07-22T23	1
2017-07-23T01	1
2017-07-23T11	1
2017-07-23T16	2
2017-07-23T22	1
2017-07-24T07	1
2017-07-24T09	1
2017-07-24T10	2
2017-07-24T11	2
2017-07-24T12	1
2017-07-24T14	1
2017-07-24T17	1
2017-07-24T18	1
2017-07-24T19	1
2017-07-24T20	1
