gafsa	1008279892518211_1477397322273130
benArous	1008279892518211_1477407982272064
tunis	1008279892518211_1478513518828177
tunis	1008279892518211_1477737088905820
tunis	1008279892518211_1478391618840367
tunis	1008279892518211_1477843435561852
tunis	1008279892518211_1477891382223724
tunis	1008279892518211_1477840842228778
tunis	1008279892518211_1477567565589439
place	post_id
tunis	1008279892518211_1477891382223724
tunis	1008279892518211_1477840842228778
gafsa	1008279892518211_1476569255689270
tunis	1008279892518211_1476408965705299
tunis	1008279892518211_1474520605894135
tunis	1008279892518211_1474983625847833
tunis	1008279892518211_1473978182615044
tunis	1008279892518211_1473970089282520
tunis	1008279892518211_1472060366140159
tunis	1008279892518211_1474240035922192
beja	1008279892518211_1472111706135025
tunis	1008279892518211_1472893762723486
ariana	1008279892518211_1471679586178237
tunis	1008279892518211_1471578949521634
tunis	1008279892518211_1471149436231252
bizert	1008279892518211_1471172396228956
tunis	1008279892518211_1470040043008858
tunis	1008279892518211_1470713049608224
tunis	1008279892518211_1470046639674865
kairouan	1008279892518211_1466619146684281
beja	1008279892518211_1469337846412411
zaghouan	1008279892518211_1468201519859377
tunis	1008279892518211_1468388596507336
gabes	1008279892518211_1467182846627911
gafsa	1008279892518211_1467852259894303
tunis	1008279892518211_1467560049923524
bizert	1008279892518211_1466627190016810
kairouan	1008279892518211_1464821276864068
tunis	1008279892518211_1467257546620441
benArous	1008279892518211_1466257466720449
sfax	1008279892518211_1466020336744162
kef	1008279892518211_1466475893365273
tunis	1008279892518211_1465223573490505
ariana	1008279892518211_1457581947588001
sfax	1008279892518211_1463778563635006
tunis	1008279892518211_1464627080216821
sfax	1008279892518211_1462454060434123
nabeul	1008279892518211_1460880980591431
tunis	1008279892518211_1462046960474833
tunis	1008279892518211_1461986100480919
tunis	1008279892518211_1460894843923378
mahdia	1008279892518211_1460780227268173
tunis	1008279892518211_1460625280617001
tunis	1008279892518211_1461038347242361
kef	1008279892518211_1458679230811606
tunis	1008279892518211_1459669920712537
tunis	1008279892518211_1459570984055764
tunis	1008279892518211_1459548494058013
tunis	1008279892518211_1458727610806768
nabeul	1008279892518211_1459419377404258
tunis	1008279892518211_1459391397407056
tataouine	1008279892518211_1457772450902284
tunis	1008279892518211_1458140460865483
mahdia	1008279892518211_1455126177833578
tunis	1008279892518211_1453088611370668
tunis	1008279892518211_1454948584518004
nabeul	1008279892518211_1452365114776351
tozeur	1008279892518211_1449829941696535
tunis	1008279892518211_1450196174993245
tunis	1008279892518211_1448032701876259
sousse	1008279892518211_1448489025163960
tunis	1008279892518211_1448626775150185
tunis	1008279892518211_1448033031876226
tunis	1008279892518211_1446974411982088
tunis	1008279892518211_1445168288829367
tunis	1008279892518211_1441799552499574
tunis	1008279892518211_1443516158994580
sousse	1008279892518211_1443939782285551
ariana	1008279892518211_1444987588847437
zaghouan	1008279892518211_1438432922836237
tunis	1008279892518211_1437974286215434
kef	1008279892518211_1437939649552231
sousse	1008279892518211_1437373706275492
tunis	1008279892518211_1436195489726647
tunis	1008279892518211_1435729873106542
tunis	1008279892518211_1436637239682472
tunis	1008279892518211_1435805463098983
tunis	1008279892518211_1435259723153557
tunis	1008279892518211_1425905714088958
kef	1008279892518211_1433388783340651
jendouba	1008279892518211_1429417707071092
tunis	1008279892518211_1430852606927602
tunis	1008279892518211_1430243933655136
kef	1008279892518211_1430616360284560
kef	1008279892518211_1429407780405418
gafsa	1008279892518211_1429695627043300
tunis	1008279892518211_1429616977051165
tunis	1008279892518211_1427829283896601
tunis	1008279892518211_1427475063932023
tunis	1008279892518211_1427898980556298
tunis	1008279892518211_1426523730693823
kef	1008279892518211_1425437044135825
tunis	1008279892518211_1424947774184752
tunis	1008279892518211_1424744354205094
kef	1008279892518211_1424743694205160
tunis	1008279892518211_1420671041279092
sousse	1008279892518211_1423068931039303
sfax	1008279892518211_1423969410949255
sousse	1008279892518211_1423531400993056
sfax	1008279892518211_1423821957630667
monastir	1008279892518211_1422470027765860
